upperbound,upperbound-time
90373.0,0.0001819133758544922
34773.0,0.00010013580322265625
79851.0,6.985664367675781e-05
171470.0,0.0001270771026611328
277348.0,8.0108642578125e-05
8396976.0,8.106231689453125e-05
7657999.0,0.0002560615539550781
80579562.0,6.508827209472656e-05
90143050.0,5.793571472167969e-05
2800406.0,5.1975250244140625e-05
28920508.0,4.696846008300781e-05
35873515.0,4.792213439941406e-05
22766006.0,4.410743713378906e-05
27813388.0,7.295608520507812e-05
365847344.0,9.608268737792969e-05
11102.0,6.29425048828125e-05
174304.0,5.793571472167969e-05
303184.0,5.0067901611328125e-05
328027.0,4.792213439941406e-05
216919.0,5.1975250244140625e-05
176717.0,4.696846008300781e-05
565112.0,4.506111145019531e-05
2759592.0,4.57763671875e-05
5973805.0,4.601478576660156e-05
5265123.0,4.410743713378906e-05
11098.0,4.57763671875e-05
174304.0,4.315376281738281e-05
303184.0,4.506111145019531e-05
328027.0,4.410743713378906e-05
218524.0,4.601478576660156e-05
180089.0,4.410743713378906e-05
1087405.0,5.5789947509765625e-05
2759592.0,4.315376281738281e-05
5973805.0,4.1961669921875e-05
5265123.0,4.315376281738281e-05
