upperbound,upperbound-time
13856965.143060185,0.0007688999176025391
707295.619817234,0.0005779266357421875
2779687.537660091,0.0004987716674804688
13879371.997110842,0.0005018711090087891
8406615.305098128,0.0006120204925537109
51770798.71052152,0.0004589557647705078
251475875.67234948,0.0004620552062988281
1963106.90296422,0.0005598068237304688
10862274.09578348,0.0005350112915039062
48708633.98079151,0.00041103363037109375
2168977092.8018517,0.0005128383636474609
14661043082.554655,0.0004870891571044922
78238121179.99792,0.0005102157592773438
433347467.80868566,0.0005180835723876953
2609989572.4437184,0.0004940032958984375
11889370408.44166,0.00047326087951660156
9779528018.091837,0.0004630088806152344
48624481075.1283,0.00046181678771972656
276209436091.80493,0.00045108795166015625
9726286768.184214,0.000453948974609375
41367.80641810089,0.0005853176116943359
40981.51094972688,0.0005648136138916016
60982.37061128477,0.0005629062652587891
583058.6646552067,0.0005688667297363281
755523.4620656641,0.0005631446838378906
1077817.0077191577,0.0005640983581542969
152682.55947305058,0.0006830692291259766
196918.6022183185,0.0006520748138427734
164595.84607561576,0.0006330013275146484
2579147.1564151864,0.0006229877471923828
41296.93180625662,0.0006160736083984375
41025.69609499382,0.0005886554718017578
169033.39165759576,0.0005609989166259766
583058.6646552067,0.0006020069122314453
755523.4620656641,0.0005958080291748047
1077817.0077191577,0.0005691051483154297
152427.33541203124,0.0006201267242431641
522693.84832730005,0.0006170272827148438
578036.2200204526,0.0006189346313476562
2579147.1564151864,0.0006127357482910156
