upperbound,upperbound-time
22766006.0,0.00023293495178222656
2800406.0,0.00011706352233886719
7657999.0,8.606910705566406e-05
27813388.0,0.0002512931823730469
28920508.0,7.677078247070312e-05
80579562.0,8.0108642578125e-05
365847344.0,7.081031799316406e-05
8396976.0,6.890296936035156e-05
35873515.0,6.508827209472656e-05
90143050.0,6.508827209472656e-05
7966907771.0,6.508827209472656e-05
22391817750.0,6.079673767089844e-05
113560755366.0,6.127357482910156e-05
1809408055.0,6.198883056640625e-05
8658782119.0,5.793571472167969e-05
23107520572.0,5.91278076171875e-05
28452459629.0,6.079673767089844e-05
142360898382.0,0.00011706352233886719
404981399821.0,0.00014495849609375
29255280760.0,0.00011706352233886719
216919.0,8.416175842285156e-05
176717.0,7.081031799316406e-05
565112.0,6.818771362304688e-05
2759592.0,6.4849853515625e-05
5973805.0,6.389617919921875e-05
5265123.0,7.295608520507812e-05
3451962.0,6.4849853515625e-05
11600613.0,5.91278076171875e-05
9146802.0,6.079673767089844e-05
96127643.0,5.984306335449219e-05
218524.0,6.29425048828125e-05
180089.0,6.318092346191406e-05
1087405.0,5.817413330078125e-05
2759592.0,5.888938903808594e-05
5973805.0,5.698204040527344e-05
5265123.0,5.6743621826171875e-05
3551544.0,6.008148193359375e-05
22497521.0,5.888938903808594e-05
17636761.0,5.984306335449219e-05
96127643.0,5.7220458984375e-05
