upperbound,upperbound-time
7966907771.0,0.0002448558807373047
22391817750.0,0.0003139972686767578
113560755366.0,0.00010609626770019531
28452459629.0,8.702278137207031e-05
142360898382.0,8.416175842285156e-05
29255280760.0,9.179115295410156e-05
-1.0,0.0
1809408055.0,8.082389831542969e-05
8658782119.0,7.915496826171875e-05
23107520572.0,7.700920104980469e-05
404981399821.0,7.43865966796875e-05
50528159265037.0,7.700920104980469e-05
9790673626043.0,7.414817810058594e-05
142968919621599.0,7.295608520507812e-05
9349038317247.0,8.0108642578125e-05
182284777598549.0,7.510185241699219e-05
3451962.0,7.677078247070312e-05
11600613.0,7.700920104980469e-05
9146802.0,7.295608520507812e-05
96127643.0,7.224082946777344e-05
186776317.0,7.724761962890625e-05
3551544.0,9.107589721679688e-05
22497521.0,7.081031799316406e-05
17636761.0,6.985664367675781e-05
96127643.0,6.914138793945312e-05
362903383.0,7.510185241699219e-05
