oracle,exec_time
1334883,0.0027475357055664062
132,0.0022237300872802734
250,0.0012691020965576172
132,0.0019812583923339844
712769,0.0015184879302978516
5,0.0019567012786865234
9,0.001905679702758789
14,0.002196073532104492
582126,0.0016138553619384766
132,0.0006518363952636719
250,0.002703428268432617
372,0.0019397735595703125
1334883,0.0014030933380126953
5,0.0005936622619628906
9,0.0013074874877929688
9,0.001522064208984375
2609130,0.0010445117950439453
39588,0.0037920475006103516
38325,0.0012483596801757812
39588,0.0014393329620361328
6048772,0.001104116439819336
4523929,0.0010402202606201172
26571401,0.0011467933654785156
27016739,0.0011568069458007812
2338833,0.0015718936920166016
3722376,0.001497030258178711
26571401,0.00054931640625
22229897,0.001171112060546875
10444633,0.0010137557983398438
4523930,0.0010061264038085938
26571401,0.0004794597625732422
27016745,0.0013985633850097656
459925,0.0013523101806640625
4523929,0.00048422813415527344
823805,0.001796722412109375
2056297,0.0016238689422607422
459924,0.00103759765625
3722376,0.00044536590576171875
823805,0.0005805492401123047
4371442,0.0018150806427001953
459925,0.0013079643249511719
4523930,0.00043892860412597656
823805,0.0006122589111328125
1190857,0.0015308856964111328
6048772,0.0005884170532226562
1334882,0.0015034675598144531
7841164,0.0015952587127685547
7971869,0.0012137889862060547
2338833,0.0004725456237792969
582126,0.0015408992767333984
7841164,0.0007185935974121094
3476435,0.0011835098266601562
10444633,0.0013146400451660156
1334883,0.0013346672058105469
7841164,0.0005772113800048828
7971871,0.0018825531005859375
31,0.0018100738525390625
451,0.0016932487487792969
6057855,0.0010480880737304688
486,0.0014014244079589844
4158,0.0010364055633544922
64915257,0.0016324520111083984
6767,0.0010600090026855469
64321,0.001405477523803711
31,0.0014348030090332031
451,0.0005271434783935547
6767,0.0004982948303222656
485,0.0018162727355957031
31,0.0013327598571777344
451,0.000514984130859375
21367294,0.0016980171203613281
486,0.001390695571899414
4523929,0.0010330677032470703
64915257,0.0005540847778320312
21367294,0.00045418739318847656
69976569,0.0012142658233642578
4469661,0.0010633468627929688
691640,0.0015375614166259766
21640746,0.001085519790649414
7451973,0.0010221004486083984
7698328,0.0011889934539794922
2609130,0.001493692398071289
7698328,0.0011832714080810547
2728943,0.001100301742553711
2819159,0.0011963844299316406
2609130,0.00047659873962402344
2819159,0.0015635490417480469
276403,0.0012187957763671875
285515,0.0014271736145019531
2609130,0.0004703998565673828
285515,0.0018258094787597656
3314025,0.0010802745819091797
7698328,0.0005259513854980469
2405534,0.001294851303100586
7874171,0.0014774799346923828
823406,0.0014870166778564453
7698328,0.0005164146423339844
597682,0.0010786056518554688
1956425,0.001287698745727539
5484122,0.0011768341064453125
2406574,0.0010428428649902344
13089568,0.003906965255737305
13030354,0.0012311935424804688
2120504,0.0010809898376464844
930532,0.0010576248168945312
13089568,0.0005424022674560547
5038348,0.0012545585632324219
27052840,0.0010478496551513672
2609129,0.001031637191772461
37442547,0.0011820793151855469
40358259,0.0011794567108154297
8154,0.0014753341674804688
1267564,0.0011031627655029297
4309,0.001489877700805664
12120,0.0016803741455078125
8154,0.0012202262878417969
1334883,0.0012316703796386719
4309,0.00066375732421875
4309,0.0014829635620117188
4523930,0.0010035037994384766
2609129,0.0010173320770263672
4673488,0.0018589496612548828
5166005,0.0011532306671142578
293956,0.0010976791381835938
325150,0.0020704269409179688
338869,0.0011179447174072266
279324,0.0014657974243164062
810722,0.003111124038696289
243081,0.0014870166778564453
419247,0.0012843608856201172
436936,0.0013048648834228516
483302,0.0013158321380615234
147632,0.013526678085327148
623167,0.0016245841979980469
